Date,Time,Test Stand,GO #,Code String,% Load,Refrigerant,Test Length,SN #,Net Evap Capacity,Evap GPM,EEWT,ELWT,Evap Delta T,EvapWaterDeltaP Corrected ftH2O,Evap Presure,Baro Pressure,Cond GPM,CLWT,CEWT,Cond Delta T,CondWaterDeltaP Corrected ftH2O,Cond Pressure,Liquid Line Temp,Subcooling ,Suction Temp,Discharge Temp,Discharge SH,FreqC1PhA,PowerTotal,Efficiency,Energy Balance,Suction SH,Evap Sat Temp,Cond Sat Temp Circuit 1,Volts Avg,VoltBalance,EvapWaterDeltaP ftH2O,CondWaterDeltaP ftH2O,Tons Time Ave,Evap WF Time Ave,Evap WT In Time Ave,Evap WT Out Time Ave,Evap Delta Press Time Ave,Cond WF Time Ave,Cond WT In Time Ave,Cond Delta Press Time Ave,Voltage Ave Time Ave,Voltage Bal Time Ave,Voltage Freq Time Ave,KW/Ton Time Ave,Energy Bal Time Ave,Evap WF Stab Time Ave,Evap WT In Stab Time Ave,Evap WT Out Stab Time Ave,Cond WF Stab Time Ave,Cond WT In Stab Time Ave,Voltage Ave Stab Time Ave,Voltage Freq Stab Time Ave,Pass,EXV Pos FB,EXV Pos SP,IGV Pos Mech FB,VFD Speed FB,VFD Speed SP
12/18/21 ,12:49:06.76,800 WCTS,6025037-00200,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000109,479.209514,1194.708911,56.345503,46.739743,9.605759,19.388476,42.018431,0.000000,1463.664539,95.402537,86.152854,9.249683,12.327582,115.413255,0.000000,0.000000,0.000000,0.000000,0.000000,59.979015,262.980015,0.548779,-1.274961,0.000000,0.000000,0.000000,566.713348,0.424083,19.388476,12.327582,492.322110,1196.078845,58.332495,48.470059,15.288472,1476.890480,85.977312,13.222371,     NaN,     NaN,     NaN,     NaN,     NaN,95.301332,2.528256,1.018761,0.845471,12.410736,0.238490,     NaN,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/18/21 ,12:49:11.76,800 WCTS,6025037-00200,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000109,479.848175,1195.973364,56.332545,46.724190,9.608356,19.391266,41.994694,0.000000,1466.327637,95.388258,86.138896,9.249362,12.088733,115.339352,0.000000,0.000000,0.000000,0.000000,0.000000,59.977070,262.960070,0.548007,-1.333948,0.000000,0.000000,0.000000,566.723403,0.422311,19.391266,12.088733,492.191179,1196.066716,58.314921,48.455049,15.259432,1476.695681,85.977265,13.129120,     NaN,     NaN,     NaN,     NaN,     NaN,95.300249,2.523465,1.025840,0.852361,12.298695,0.238457,     NaN,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/18/21 ,12:49:16.76,800 WCTS,6025037-00200,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000109,479.296435,1194.038013,56.316965,46.704147,9.612819,19.387125,41.981882,0.000000,1467.044983,95.369707,86.119823,9.249884,12.308580,115.412831,0.000000,0.000000,0.000000,0.000000,0.000000,59.979046,262.920046,0.548554,-1.494677,0.000000,0.000000,0.000000,566.740046,0.419946,19.387125,12.308580,492.052783,1196.040194,58.297262,48.439987,15.229082,1476.515676,85.977062,13.046021,     NaN,     NaN,     NaN,     NaN,     NaN,95.299071,2.519535,1.032737,0.859224,12.200582,0.238320,     NaN,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/18/21 ,12:49:21.76,800 WCTS,6025037-00200,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000109,480.269471,1196.133398,56.305214,46.689787,9.615427,19.409118,41.952163,0.000000,1467.395935,95.357028,86.105743,9.251285,12.381461,115.407471,0.000000,0.000000,0.000000,0.000000,0.000000,59.983075,262.850075,0.547297,-1.362846,0.000000,0.000000,0.000000,566.763408,0.420516,19.409118,12.381461,491.914815,1196.019177,58.279536,48.424891,15.199238,1476.345678,85.976740,12.956373,     NaN,     NaN,     NaN,     NaN,     NaN,95.297832,2.502744,1.039410,0.865982,12.112480,0.238105,     NaN,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/18/21 ,12:49:26.76,800 WCTS,6025037-00200,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000109,480.634774,1196.742395,56.294327,46.677469,9.616858,19.436573,41.916653,0.000000,1468.035901,95.346139,86.095150,9.250989,12.393536,115.338932,0.000000,0.000000,0.000000,0.000000,0.000000,59.983067,262.850067,0.546881,-1.323360,0.000000,0.000000,0.000000,566.763401,0.420516,19.436573,12.393536,491.781759,1196.011464,58.261750,48.409753,15.169676,1476.146721,85.976342,12.871678,     NaN,     NaN,     NaN,     NaN,     NaN,95.296544,2.498335,1.045853,0.872592,11.951256,0.237845,     NaN,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/18/21 ,12:49:31.75,800 WCTS,6025037-00200,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000109,478.448493,1191.297522,56.279103,46.661320,9.617783,19.453191,41.905711,0.000000,1467.499158,95.330973,86.081424,9.249549,12.102454,115.322005,0.000000,0.000000,0.000000,0.000000,0.000000,59.984061,262.820061,0.549317,-1.677510,0.000000,0.000000,0.000000,566.786728,0.421087,19.453191,12.102454,491.640308,1195.987925,58.243890,48.394582,15.138833,1475.950115,85.975870,12.786424,     NaN,     NaN,     NaN,     NaN,     NaN,95.295199,2.522696,1.052124,0.879132,11.799001,0.237550,     NaN,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/18/21 ,12:49:36.76,800 WCTS,6025037-00200,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000109,478.420864,1191.416211,56.265419,46.647105,9.618314,19.384148,41.898290,0.000000,1464.975464,95.317843,86.066966,9.250877,12.096788,115.347614,0.000000,0.000000,0.000000,0.000000,0.000000,59.981076,262.790076,0.549286,-1.540358,0.000000,0.000000,0.000000,566.796743,0.421080,19.384148,12.096788,491.489811,1195.947210,58.225962,48.379369,15.107107,1475.742815,85.975330,12.697294,     NaN,     NaN,     NaN,     NaN,     NaN,95.293802,2.537051,1.058207,0.885558,11.660631,0.237230,     NaN,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/18/21 ,12:49:41.76,800 WCTS,6025037-00200,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000109,479.124582,1193.031616,56.248899,46.630338,9.618561,19.424096,41.872074,0.000000,1462.694287,95.303513,86.051753,9.251760,12.126105,115.452899,0.000000,0.000000,0.000000,0.000000,0.000000,59.979065,262.750065,0.548396,-1.264897,0.000000,0.000000,0.000000,566.810065,0.421658,19.424096,12.126105,491.340620,1195.913004,58.207964,48.364115,15.075240,1475.451850,85.974728,12.608193,     NaN,     NaN,     NaN,     NaN,     NaN,95.292373,2.534608,1.064146,0.891919,11.322404,0.236896,     NaN,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/18/21 ,12:49:46.75,800 WCTS,6025037-00200,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000109,480.058520,1195.297290,56.232064,46.614332,9.617732,19.519454,41.848317,0.000000,1463.406494,95.288935,86.040928,9.248007,12.311884,115.326128,0.000000,0.000000,0.000000,0.000000,0.000000,59.976025,262.740025,0.547308,-1.097354,0.000000,0.000000,0.000000,566.820025,0.423415,19.519454,12.311884,491.190477,1195.877594,58.189937,48.348845,15.044833,1475.212150,85.974116,12.523204,     NaN,     NaN,     NaN,     NaN,     NaN,95.290942,2.528900,1.069871,0.898110,11.143962,0.236567,     NaN,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
12/18/21 ,12:49:51.75,800 WCTS,6025037-00200,WME092CSCM7/E3612-JB2C-2/C3012-GB2C-2/R134-CEAAPAB-U,100.000,R134a,15.000000,STNU211000109,480.507489,1196.608203,56.211996,46.595867,9.616130,19.521118,41.838833,0.000000,1468.170142,95.272398,86.027056,9.245341,12.112681,115.231592,0.000000,0.000000,0.000000,0.000000,0.000000,59.974063,262.780063,0.546880,-1.308513,0.000000,0.000000,0.000000,566.830063,0.425172,19.521118,12.112681,491.044722,1195.855345,58.171813,48.333496,15.014477,1475.013308,85.973451,12.439245,     NaN,     NaN,     NaN,     NaN,     NaN,95.289450,2.508742,1.075504,0.904244,10.976830,0.236235,     NaN,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
